category,path,filename,size_bytes,modified_time_iso,notes
protocol,protocols/META_YAML_SPEC.md,META_YAML_SPEC.md,6676,2025-12-22T22:00:17.982642,META.yaml Specification
protocol,protocols/README.md,README.md,911,2025-09-21T04:19:00.783726,Governance Protocols
protocol,protocols/betty_protocol.md,betty_protocol.md,4373,2025-12-26T14:28:54.128511,Betty Protocol â€” Workspace Edition (v2025-09-07)
protocol,protocols/cross_platform_claude_md.md,cross_platform_claude_md.md,9994,2025-12-22T22:00:17.983173,Cross-Platform CLAUDE.md Standard
protocol,protocols/universal_claude_standards.md,universal_claude_standards.md,3761,2025-12-22T22:00:17.983443,Universal Claude Standards v1.0
schema,schemas/codemeta_v1.0.yaml,codemeta_v1.0.yaml,2166,2025-12-22T22:00:17.984183,v1.0
schema,schemas/docmeta_v1.2.yaml,docmeta_v1.2.yaml,1223,2025-12-22T22:00:17.984356,v1.2
schema,schemas/houston_features.schema.json,houston_features.schema.json,8081,2025-09-22T20:09:08.289734,
taxonomy,taxonomies/content_taxonomy.yaml,content_taxonomy.yaml,5992,2025-12-22T22:00:17.985288,
taxonomy,taxonomies/disambiguation_rules.yaml,disambiguation_rules.yaml,6067,2025-12-22T22:00:17.985589,
taxonomy,taxonomies/emotion_taxonomy.yaml,emotion_taxonomy.yaml,5553,2025-12-22T22:00:17.985867,
taxonomy,taxonomies/metadata_taxonomy.yaml,metadata_taxonomy.yaml,1231,2025-12-22T22:00:17.986037,
taxonomy,taxonomies/taxonomy_additions_cross_corpus.yaml,taxonomy_additions_cross_corpus.yaml,10059,2025-12-22T22:00:17.986376,
taxonomy,taxonomies/topic_stoplist.yaml,topic_stoplist.yaml,4099,2025-12-22T22:00:17.986601,
taxonomy,taxonomies/topic_taxonomy.yaml,topic_taxonomy.yaml,481,2025-09-21T04:17:25.462682,
taxonomy,taxonomies/universal_terms.yaml,universal_terms.yaml,6250,2025-12-22T22:00:17.986816,
validator,validators/check_houston_docmeta.py,check_houston_docmeta.py,8567,2025-10-04T21:09:39.195362,
validator,validators/check_houston_features.py,check_houston_features.py,8726,2025-12-22T22:00:17.989361,
validator,validators/check_houston_models.py,check_houston_models.py,3626,2025-10-04T21:11:07.576668,
validator,validators/check_houston_telemetry.py,check_houston_telemetry.py,7716,2025-10-04T21:12:41.252952,
validator,validators/check_houston_tools.py,check_houston_tools.py,5985,2025-10-04T21:11:52.024930,
validator,validators/common.py,common.py,4101,2025-12-22T22:00:17.989672,
validator,validators/run_all.py,run_all.py,1940,2025-09-22T20:26:06.867709,
script,scripts/audit_folder_structure.sh,audit_folder_structure.sh,4629,2025-12-26T14:29:49.235009,
script,scripts/bootstrap_claude_crossplatform.sh,bootstrap_claude_crossplatform.sh,4433,2025-12-22T22:00:17.984589,
script,scripts/bootstrap_ruff.sh,bootstrap_ruff.sh,933,2025-12-22T22:00:24.860965,
script,scripts/bootstrap_testing.sh,bootstrap_testing.sh,5847,2025-12-22T22:00:24.861128,
